Reference,Annotation,Novelty,OrthoMCL Conservation,Pb Essentiality,Pf Essentiality
PF3D7_0219500.1,"pseudouridine synthase, putative",Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0810100.1,"apicoplast ribosomal protein L33 precursor, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1330100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_1242200.1,"queuine tRNA-ribosyltransferase, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0310000.1,"50S ribosomal protein L9, apicoplast, putative",Known Pathway,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0913500.1,"protease, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1248600.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1127400.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0409500.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0715200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_0522500.1,"50S ribosomal protein L17, apicoplast, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0519900.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1371500.1,"probable protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0604400.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0313300.1,"apicoplast conserved ycf19 protein precursor, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0413800.1,"50S ribosomal protein L10, putative",Known Pathway,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0715400.1,"secreted ookinete protein, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_0817100.1,"tRNA modification GTPase, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1024000.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0619100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0933300.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0911600.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0710500.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1349900.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0908100.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Plasmodium Only,Dispensable,Mutable in CDS
PF3D7_1236700.1,"S-adenosyl-methyltransferase, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0820100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_1436100.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0315400.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Slow,Non - Mutable in CDS
PF3D7_0910800.1,"cytosolic Fe-S cluster assembly factor NBP35, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1360300.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0102300.1,"Plasmodium exported protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1125000.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0613200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Mutable in CDS
PF3D7_1143000.1,"alpha/beta hydrolase, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0622200.1,"radical SAM protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_1210000.1,"50S ribosomal protein L1, apicoplast, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1304300.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_1248300.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_1453300.1,"Yos1-like protein, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1410700.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_0908300.2,"conserved protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0508200.1,"longevity-assurance (LAG1) protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0908300.1,"conserved protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0306600.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0313200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0623500.1,superoxide dismutase [Fe],Known Pathway,Plasmodium and Other Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0907800.1,"apicoplast ribosomal protein L35 precursor, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0710300.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0422100.1,"transmembrane emp24 domain-containing protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0210800.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Slow,Non - Mutable in CDS
PF3D7_1135000.2,"PQ-loop repeat-containing protein, unspecified product","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1135000.3,"PQ-loop repeat-containing protein, unspecified product","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0912400.1,"alkaline phosphatase, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1121500.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0820600.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0311600.1,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0918800.1,"dihydrouridine synthase, putative",Known Pathway,Conserved Outside of Apicomplexa,Slow,Mutable in CDS
PF3D7_1353300.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1009600.1,"protein phosphatase, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0819700.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0505700.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1429600.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_1443700.1,"dephospho-CoA kinase, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1455900.1,"polyprenol reductase, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0613400.1,"apicoplast ribosomal protein L18 precursor, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1458100.1,"protein PET117, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1207500.1,"RNA-binding protein, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0109850.1,"phosphatidate cytidylyltransferase, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,ND,ND
PF3D7_1119000.1,"acyl-CoA-binding protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Slow,Mutable in CDS
PF3D7_0514200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Mutable in CDS
PF3D7_0407200.1,"peptidyl-tRNA hydrolase 2, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1467400.1,"50S ribosomal protein L22, apicoplast, putative",Known Pathway,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1137500.1,"apicoplast ribosomal protein S14p/S29e precursor, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0525700.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1340200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0914000.1,"pseudouridylate synthase, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1340800.1,"mitochondrial pyruvate carrier protein 1, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1242000.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Dispensable,Non - Mutable in CDS
PF3D7_0507200.1,subtilisin-like protease 3,"Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0731600.1,acyl-CoA synthetase,Known Pathway,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1133800.1,"RNA (uracil-5-)methyltransferase, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1351200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0313900.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Dispensable,Mutable in CDS
PF3D7_0604900.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0926400.1,"monocarboxylate transporter, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_0726700.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0918400.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Dispensable,Mutable in CDS
PF3D7_0529000.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1123500.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1372400.1,acyl-CoA synthetase,Known Pathway,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1023300.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0206100.1,cysteine desulfuration protein SufE,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0307400.1,ATP-dependent Clp protease proteolytic subunit,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1436800.1,ATP-dependent Clp protease proteolytic subunit,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1357200.1,glutamate--tRNA ligase,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1469000.1,translation initiation factor IF-1,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1034600.1,"translation initiation factor IF-3, putative",Known Pathway,Plasmodium and Other Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0408900.2,tRNA N6-adenosine threonylcarbamoyltransferase,Known Pathway,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0409400.1,chaperone protein DnaJ,Known Pathway,Conserved Outside of Apicomplexa,Essential,Mutable in CDS
PF3D7_0529300.1,apicoplast TIC22 protein,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_1452300.1,DER1-like protein,Known Pathway,Conserved Outside of Apicomplexa,Slow,Mutable in CDS
PF3D7_0314300.1,DER1-like protein,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0711000.1,"AAA family ATPase, CDC48 subfamily",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1124500.1,pyruvate dehydrogenase E1 component subunit alpha,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0815900.1,"dihydrolipoyl dehydrogenase, apicoplast",Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_1440300.1,porphobilinogen synthase,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1209600.1,porphobilinogen deaminase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0615100.1,enoyl-acyl carrier reductase,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1360800.1,falcilysin,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1469600.1,"biotin carboxylase subunit of acetyl CoA carboxylase, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Mutable in CDS
PF3D7_1345500.1,ubiquitin-conjugating enzyme E2,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0316900.1,"E3 ubiquitin-protein ligase, putative",Known Pathway,Plasmodium and Other Apicomplexa,Essential,Mutable in CDS
PF3D7_0312100.1,"E3 ubiquitin-protein ligase, putative",Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0607300.1,uroporphyrinogen III decarboxylase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0921400.1,"NifU-like scaffold protein, putative",Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0211400.1,beta-ketoacyl-ACP synthase III,Known Pathway,Conserved Outside of Apicomplexa,Slow,Mutable in CDS
PF3D7_1318100.1,"ferredoxin, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0604700.1,glyoxalase I,Known Pathway,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_1205700.1,targeted glyoxalase II,Known Pathway,Plasmodium Only,Dispensable,Mutable in CDS
PF3D7_1212000.1,glutathione peroxidase-like thioredoxin peroxidase,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1419800.2,glutathione reductase,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1344600.1,lipoyl synthase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0923600.1,lipoate-protein ligase 2,Known Pathway,Conserved Outside of Apicomplexa,Slow,Non - Mutable in CDS
PF3D7_1446400.1,pyruvate dehydrogenase E1 component subunit beta,Known Pathway,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1312000.1,malonyl CoA-acyl carrier protein transacylase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0626300.1,3-oxoacyl-acyl-carrier protein synthase I/II,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0922900.1,3-oxoacyl-[acyl-carrier-protein] reductase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_1323000.1,beta-hydroxyacyl-ACP dehydratase,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_0823600.1,lipoate-protein ligase B,Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_1114800.1,"glycerol-3-phosphate dehydrogenase, putative",Known Pathway,Conserved Outside of Apicomplexa,Dispensable,Non - Mutable in CDS
PF3D7_1318200.1,glycerol-3-phosphate 1-O-acyltransferase,Known Pathway,Conserved Outside of Apicomplexa,ND,Mutable in CDS
PF3D7_1320100.1,ATP-dependent Clp protease adapter protein ClpS,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1337200.1,1-deoxy-D-xylulose 5-phosphate synthase,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1467300.1,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1144700.1,"apicoplast import protein Tic20, putative",Known Pathway,Plasmodium and Other Apicomplexa,Slow,Non - Mutable in CDS
PF3D7_0623200.1,ferredoxin--NADP reductase,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_1234600.1,"protein TOC75, putative",Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_0916500.1,ubiquitin fusion degradation protein 1,Known Pathway,Conserved Outside of Apicomplexa,ND,Non - Mutable in CDS
PF3D7_1329700.1,apicoplast calcium binding protein 1,"Annotated Gene Product, Unknown Function",Plasmodium Only,ND,Mutable in CDS
