Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL	
PVX_117100	PVX_117100.1	Plasmodium vivax Sal-1	Pv_Sal1_chr12:1,550,772..1,552,358(-)	1-deoxy-D-xylulose 5-phosphate reductoisomerase, putative	GO:0020011	apicoplast	GO:0030604;GO:0070402;GO:0016853;GO:0046872;GO:0005515	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;NADPH binding;isomerase activity;metal ion binding;protein binding	GO:0019288;GO:0008299;GO:0055114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;isoprenoid biosynthetic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	
PYYM_0307300	PYYM_0307300.1	Plasmodium yoelii yoelii YM	PyYM_03_v1:278,811..279,650(+)	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase, putative	GO:0016021	integral component of membrane	GO:0008685;GO:0046872	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity;metal ion binding	GO:0019288;GO:0016114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;terpenoid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	
PfIT_100019900	PfIT_100019900-t41_1	Plasmodium falciparum IT	PfIT_10:575,683..577,548(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PfKH01_110032600	PfKH01_110032600-t41_1	Plasmodium falciparum KH01	PfKH01_11:1,057,419..1,062,826(-)	6-phosphofructokinase	N/A	N/A	GO:0003872	6-phosphofructokinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.11 (6-phosphofructokinase)	
SN3_00102615	SN3_00102615-mRNA-1	Sarcocystis neurona SN3	sneu_scaffold00001:8,015,421..8,022,229(-)	triose-phosphate isomerase tpi-i	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	
SPRG_06576	SPRG_06576-t26_1	Saprolegnia parasitica CBS 223.65	KK583211:25,530..27,168(+)	hypothetical protein	N/A	N/A	GO:0003872;GO:0046872	6-phosphofructokinase activity;metal ion binding	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.11 (6-phosphofructokinase)	
TGBR9_297060	TGBR9_297060-t46_1	Toxoplasma gondii TgCATBr9	KZ792751.1:767,310..771,191(+)	phosphoglycerate mutase PGMII	GO:0005737	cytoplasm	GO:0004082;GO:0003824;GO:0016868;GO:0004619	bisphosphoglycerate mutase activity;catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.- (Phosphotransferases (phosphomutases).);5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
TGDOM2_299070	TGDOM2_299070-t30_1	Toxoplasma gondii GAB2-2007-GAL-DOM2	KN003129:1,593,832..1,597,558(+)	pyruvate kinase PyKII	GO:0045177;GO:0020011;GO:0016021;GO:0005739	apical part of cell;apicoplast;integral component of membrane;mitochondrion	GO:0016830;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	carbon-carbon lyase activity;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006725;GO:0006096	cellular aromatic compound metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
TGDOM2_402060	TGDOM2_402060-t30_1	Toxoplasma gondii GAB2-2007-GAL-DOM2	KN005063:1..354(-)	fructose-bisphosphate aldolase	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
TGGT1_226960	TGGT1_226960-t26_1	Toxoplasma gondii GT1	TGGT1_chrX:1,093,641..1,104,060(-)	phosphofructokinase PFKII	GO:0005945;GO:0005737	6-phosphofructokinase complex;cytoplasm	GO:0003872;GO:0005524;GO:0047334;GO:0046872	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity;metal ion binding	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
TGMAS_236050A	TGMAS_236050A-t30_1	Toxoplasma gondii MAS	KN044661:259,534..261,010(+)	putative fructose-bisphosphate aldolase	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
TGPRC2_268850	TGPRC2_268850-t30_1	Toxoplasma gondii TgCatPRC2	KQ983268:3,817,541..3,819,619(-)	enolase 2	GO:0005737;GO:0005634;GO:0000015	cytoplasm;nucleus;phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
Tb927.10.2890	Tb927.10.2890:mRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:746,231..747,913(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	GO:0097014;GO:0005737;GO:0005829;GO:0005654	ciliary plasm;cytoplasm;cytosol;nucleoplasm	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
TcCLB.506945.20	TcCLB.506945.20:mRNA	Trypanosoma cruzi CL Brener Esmeraldo-like	TcChr32-S:890,728..892,311(+)	PAS-domain containing phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096;GO:0006355	glycolytic process;regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	
TcCLB.510187.100	TcCLB.510187.100:mRNA	Trypanosoma cruzi CL Brener Non-Esmeraldo-like	TcChr37-P:1,248,196..1,249,326(+)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	GO:0000785;GO:0020015	chromatin;glycosome	GO:0005524;GO:0004340	ATP binding;glucokinase activity	GO:0006096	glycolytic process	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
Vbra_12798	Vbra_12798.t1	Vitrella brassicaformis CCMP3155	Vbra_scaffold20:182,528..188,921(+)	Pyruvate, phosphate dikinase, putative	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0050242;GO:0016772	ATP binding;catalytic activity;kinase activity;pyruvate, phosphate dikinase activity;transferase activity, transferring phosphorus-containing groups	GO:0016310;GO:0006090	phosphorylation;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.9.1 (Pyruvate, phosphate dikinase)	2.7.9.1 (Pyruvate, phosphate dikinase)	
YYE_02871	YYE_02871-t30_1	Plasmodium vinckei vinckei strain vinckei	KL446949:547,051..548,051(+)	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	N/A	N/A	GO:0003824;GO:0016868;GO:0004619	catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
AK88_01089	AK88_01089-t30_1	Plasmodium fragile strain nilgiri	KQ001653:150,627..152,209(-)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	N/A	N/A	GO:0051539;GO:0051745;GO:0046872	4 iron, 4 sulfur cluster binding;4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding	GO:0050992;GO:0019288	dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	N/A	N/A	N/A	N/A	N/A	N/A	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	
AK88_03829	AK88_03829-t30_1	Plasmodium fragile strain nilgiri	KQ001691:124,929..125,912(+)	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	GO:0016021	integral component of membrane	GO:0008685;GO:0046872	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity;metal ion binding	GO:0019288;GO:0016114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;terpenoid biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	4.6.1.12 (2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase)	
BESB_036950	mrna.BESB_036950	Besnoitia besnoiti strain Bb-Ger1	CM008347.1:2,394,678..2,396,458(-)	unspecified product	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	4.1.2.13 (Fructose-bisphosphate aldolase)	
C3747_114g48	C3747_114g48-t42_1	Trypanosoma cruzi TCC	PRFC01000114:103,339..104,469(+)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
C3747_169g43	C3747_169g43-t42_1	Trypanosoma cruzi TCC	PRFC01000169:93,949..95,460(+)	3-phosphoglycerate kinase, glycosomal	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
C4B63_97g19	C4B63_97g19-t42_1	Trypanosoma cruzi Dm28c 2018	PRFA01000097:56,079..57,215(+)	pyruvate dehydrogenase E1 component alpha subunit	GO:0043231	intracellular membrane-bounded organelle	GO:0016624;GO:0004739	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor;pyruvate dehydrogenase (acetyl-transferring) activity	GO:0006086;GO:0008152	acetyl-CoA biosynthetic process from pyruvate;metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
C922_02283	C922_02283-t30_1	Plasmodium inui San Antonio 1	KI965467:75,125..80,049(-)	hypothetical protein	N/A	N/A	GO:0003872;GO:0046872	6-phosphofructokinase activity;metal ion binding	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.11 (6-phosphofructokinase)	
C922_04250	C922_04250-t30_1	Plasmodium inui San Antonio 1	KI965480:92,122..93,682(-)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	N/A	N/A	GO:0051539;GO:0051745;GO:0046872	4 iron, 4 sulfur cluster binding;4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;metal ion binding	GO:0050992;GO:0019288	dimethylallyl diphosphate biosynthetic process;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	N/A	N/A	N/A	N/A	N/A	N/A	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	1.17.7.4 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase)	
Chro.20231	Chro.20231-t26_1	Cryptosporidium hominis TU502	AAEL01000258:5,515..9,795(-)	hypothetical protein	N/A	N/A	GO:0003872	6-phosphofructokinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
DQ04_11161030	DQ04_11161030-t26_1	Trypanosoma grayi ANR4	JMRU01001116:3,408..4,526(-)	fructose-bisphosphate aldolase, glycosomal	N/A	N/A	GO:0003824;GO:0004332	catalytic activity;fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	
EHI_045080	EHI_045080A	Entamoeba histolytica HM-1:IMSS	DS571147:90,611..91,033(-)	pyruvate, phosphate dikinase, putative	N/A	N/A	GO:0003824;GO:0050242;GO:0016772	catalytic activity;pyruvate, phosphate dikinase activity;transferase activity, transferring phosphorus-containing groups	GO:0016310;GO:0006090	phosphorylation;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.9.1 (Pyruvate, phosphate dikinase)	2.7.9.1 (Pyruvate, phosphate dikinase)	
EMWEY_00038660	EMWEY_00038660-t26_1	Eimeria maxima Weybridge	HG722021:10,500..19,691(-)	phosphofructokinase, putative	GO:0005737	cytoplasm	GO:0003872;GO:0005524;GO:0047334;GO:0046872	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity;metal ion binding	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
ENH_00019400	ENH_00019400.1	Eimeria necatrix Houghton	HG723571:548..3,748(+)	pyruvate dehydrogenase E1 beta subunit, putative	N/A	N/A	GO:0003824;GO:0004739	catalytic activity;pyruvate dehydrogenase (acetyl-transferring) activity	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	N/A	N/A	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
ENH_00082330	ENH_00082330.1	Eimeria necatrix Houghton	HG725933:3,940..5,201(-)	phosphoglycerate kinase, putative	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
GLP15_1654	GLP15_1654-t26_1	Giardia Assemblage E isolate P15	ACVC01000036:24,026..25,255(+)	Phosphoglycerate kinase	N/A	N/A	GO:0005524;GO:0004618	ATP binding;phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
GSB_9909	GSB_9909-t26_1	Giardia Assemblage B isolate GS_B	AHHH01000004:41,698..44,352(+)	Pyruvate,phosphate dikinase	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0050242;GO:0016772	ATP binding;catalytic activity;kinase activity;pyruvate, phosphate dikinase activity;transferase activity, transferring phosphorus-containing groups	GO:0016310;GO:0006090	phosphorylation;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.9.1 (Pyruvate, phosphate dikinase)	2.7.9.1 (Pyruvate, phosphate dikinase)	
H310_12226	H310_12226-t26_1	Aphanomyces invadans NJM9701	KI913988:293,423..294,613(-)	hypothetical protein	N/A	N/A	GO:0003824;GO:0004739	catalytic activity;pyruvate dehydrogenase (acetyl-transferring) activity	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	N/A	N/A	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
HEP_00049400	HEP_00049400_t1	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	CABPSV020000042:21,143..22,891(-)	glucose-6-phosphate isomerase, putative	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
HEP_00258200	HEP_00258200_t1	Hepatocystis sp. ex Piliocolobus tephrosceles 2019	CABPSV020000411:10,224..11,762(+)	1-deoxy-D-xylulose 5-phosphate reductoisomerase	N/A	N/A	GO:0030604;GO:0070402;GO:0016853;GO:0046872;GO:0005515	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;NADPH binding;isomerase activity;metal ion binding;protein binding	GO:0019288;GO:0008299;GO:0055114	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway;isoprenoid biosynthetic process;oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	1.1.1.267 (1-deoxy-D-xylulose-5-phosphate reductoisomerase)	
LAEL147_000204000	LAEL147_000204000.1	Leishmania aethiopica L147	LaeL147_14:517,973..519,262(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
LMJLV39_140019400	LMJLV39_140019400.1	Leishmania major strain LV39c5	LmjLV39_14:502,853..504,142(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	
LMJSD75_350005300	LMJSD75_350005300.1	Leishmania major strain SD 75.1	LmjSD75_35:3,961..5,670(-)	pyruvate kinase	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	
LOC34621637	LOC34621637-t45_1	Cyclospora cayetanensis isolate NF1_C8	NW_020312099:82,914..92,462(+)	uncharacterized LOC34621637	N/A	N/A	GO:0003872;GO:0005524;GO:0047334	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity	GO:0006002;GO:0006096	fructose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
LbrM.34.2.210500	LbrM.34.2.210500.1	Leishmania braziliensis MHOM/BR/75/M2904 2019	LbrM.34_v4_pilon:10,172..11,446(-)	Pyruvate kinase, barrel domain/HpcH/HpaI aldolase/citrate lyase family/Pyruvate kinase, alpha/beta domain containing protein, putative	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	
LpyrH10_08_3000	rna_LpyrH10_08_3000-1	Leptomonas pyrrhocoris H10	LpyrH10_08:949,098..950,507(-)	ATP-dependent phosphofructokinase, putative mitochondrial	N/A	N/A	GO:0003872;GO:0005524	6-phosphofructokinase activity;ATP binding	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.11 (6-phosphofructokinase)	
Lsey_0590_0020	rna_Lsey_0590_0020-1	Leptomonas seymouri ATCC 30220	Lsey_0590:3,463..4,581(+)	putative fructose-1,6-bisphosphate aldolase	N/A	N/A	GO:0004332	fructose-bisphosphate aldolase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.13 (Fructose-bisphosphate aldolase)	
MONOS_2338	MONOS_2338.1	Monocercomonoides exilis PA203	Mono_scaffold00047:174,829..176,203(+)	enolase (ENO)	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
NF0035880	mRNA1_NF0035880	Naegleria fowleri ATCC 30863	Nfow_scaffold00022:38,026..39,507(-)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	2.7.1.2 (Glucokinase)	
PAR_G004990	EPrPRT00000018071	Pythium arrhenomanes ATCC 12531	ParrATCC12531_SC00655:5,315..6,998(+)	Pyruvate kinase.	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PGABG01_1035100	PGABG01_1035100-t36_1	Plasmodium gaboni strain G01	PGABG01_10:1,342,032..1,344,263(-)	pyruvate kinase 2	N/A	N/A	GO:0005524;GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
PGAL8A_00205600	PGAL8A_00205600.1	Plasmodium gallinaceum 8A	PGAL8A_union_v1_archived_contig_76:591,636..592,850(-)	pyruvate dehydrogenase E1 component subunit beta, putative	N/A	N/A	GO:0003824;GO:0004739	catalytic activity;pyruvate dehydrogenase (acetyl-transferring) activity	GO:0006086	acetyl-CoA biosynthetic process from pyruvate	N/A	N/A	N/A	N/A	N/A	N/A	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	1.2.4.1 (Pyruvate dehydrogenase (acetyl-transferring))	
PHPALM_11418	PHPALM_11418-t46_1	Phytophthora palmivora var. palmivora strain sbr112.9	NCKW01006386:1,164..2,834(-)	Glucose-6-phosphate isomerase	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
PHPALM_17932	PHPALM_17932-t46_1	Phytophthora palmivora var. palmivora strain sbr112.9	NCKW01009686:2,774..4,309(+)	Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	GO:0045254	pyruvate dehydrogenase complex	GO:0004742;GO:0016746	dihydrolipoyllysine-residue acetyltransferase activity;transferase activity, transferring acyl groups	GO:0006090	pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)	
PHYCI_94944	PHYCI_94944T0	Phytophthora cinnamomi var. cinnamomi CBS 144.22	PcinCBS144-22_SC0079:67,993..69,835(+)	unspecified product	GO:0045254	pyruvate dehydrogenase complex	GO:0004742;GO:0016746	dihydrolipoyllysine-residue acetyltransferase activity;transferase activity, transferring acyl groups	GO:0008152;GO:0006090	metabolic process;pyruvate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.1.12 (Dihydrolipoyllysine-residue acetyltransferase)	
PRG01_1014400	PRG01_1014400-t36_1	Plasmodium reichenowi G01	PRG01_10:562,926..564,712(+)	enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PSURA_45077	PSURA_45077T0	Phytophthora ramorum strain Pr102	PramPr-102_SC0023:477,407..507,394(+)	unspecified product	N/A	N/A	GO:0051287;GO:0050661;GO:0016620	NAD binding;NADP binding;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0006006;GO:0055114	glucose metabolic process;oxidation-reduction process	GO:0005829	cytosol	GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	GO:0006096	glycolytic process	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
PSURA_72151	PSURA_72151T0	Phytophthora ramorum strain Pr102	PramPr-102_SC0094:71,675..73,492(-)	Enolase	GO:0000015	phosphopyruvate hydratase complex	GO:0000287;GO:0004634	magnesium ion binding;phosphopyruvate hydratase activity	GO:0006096	glycolytic process	GO:0000015	phosphopyruvate hydratase complex	GO:0004634	phosphopyruvate hydratase activity	GO:0006096;GO:0032889	glycolytic process;regulation of vacuole fusion, non-autophagic	4.2.1.11 (Phosphopyruvate hydratase)	4.2.1.11 (Phosphopyruvate hydratase)	
PVX_091640	PVX_091640.1	Plasmodium vivax Sal-1	Pv_Sal1_chr09:672,581..674,111(+)	phosphoglycerate mutase, putative	GO:0005829	cytosol	GO:0003824;GO:0016868;GO:0004619	catalytic activity;intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.1 (Transferred entry: 5.4.2.11 and 5.4.2.12);5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
