Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Curated GO Functions	Computed GO Functions	Evidence Code	EC numbers	
CMU_029870	CMU_029870-t26_1	C. muris RN66	DS989735:302,470..313,819(+)	hypothetical protein, conserved	N/A	ATP binding;GTPase activator activity;binding;lysine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CMU_031000	CMU_031000-t26_1	C. muris RN66	DS989736:26,149..27,270(-)	tRNA synthetases class I family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	6.1.1.1 (Tyrosine--tRNA ligase)	
CMU_031990	CMU_031990-t26_1	C. muris RN66	DS989736:263,478..266,756(+)	isoleucyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;isoleucine-tRNA ligase activity;nucleotide binding	IEA	6.1.1.5 (Isoleucine--tRNA ligase)	
CMU_033480	CMU_033480-t26_1	C. muris RN66	DS989731:242,989..244,785(+)	tryptophanyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	IEA	6.1.1.2 (Tryptophan--tRNA ligase)	
CMU_033540	CMU_033540-t26_1	C. muris RN66	DS989731:257,058..258,894(+)	aspartyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	6.1.1.12 (Aspartate--tRNA ligase)	
CMU_033730	CMU_033730-t26_1	C. muris RN66	DS989731:298,839..301,070(+)	threonyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;ligase activity, forming aminoacyl-tRNA and related compounds;nucleotide binding;threonine-tRNA ligase activity	IEA	6.1.1.3 (Threonine--tRNA ligase)	
CMU_037180	CMU_037180-t26_1	C. muris RN66	DS989733:441,812..443,266(+)	glutamate 5-kinase family protein	N/A	RNA binding;glutamate 5-kinase activity	IEA	2.7.2.11 (Glutamate 5-kinase)	
CMU_037700	CMU_037700-t26_1	C. muris RN66	DS989726:16,710..18,521(-)	arginyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	6.1.1.19 (Arginine--tRNA ligase)	
CMU_038670	CMU_038670-t26_1	C. muris RN66	DS989726:277,651..279,810(-)	asparagine synthase family protein	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
CMU_041310	CMU_041310-t26_1	C. muris RN66	DS989726:917,452..921,059(+)	leucyl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	IEA	6.1.1.4 (Leucine--tRNA ligase)	
CMU_042090	CMU_042090-t26_1	C. muris RN66	DS989726:1,074,636..1,076,239(+)	seryl-tRNA synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	IEA	6.1.1.11 (Serine--tRNA ligase)	
CPATCC_0000370	CPATCC_0000370-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:84,346..85,842(+)	Asparaginyl-tRNA synthetase (NOB+tRNA synthase)	N/A	ATP binding;aminoacyl-tRNA ligase activity;asparagine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0000830	CPATCC_0000830-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:209,694..211,358(-)	Glutamyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0001070	CPATCC_0001070-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:271,483..273,450(+)	Glycyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0002700	CPATCC_0002700-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:675,389..676,702(-)	Serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	N/A	
CPATCC_0002730	CPATCC_0002730-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:678,924..680,258(-)	Serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	N/A	
CPATCC_0003260	CPATCC_0003260-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:800,476..803,601(+)	Valyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	IEA	N/A	
CPATCC_0003520	CPATCC_0003520-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:844,896..846,836(-)	Phenylalanyl-tRNA synthetase beta chain	N/A	ATP binding;RNA binding;magnesium ion binding;nucleotide binding;phenylalanine-tRNA ligase activity	IEA	N/A	
CPATCC_0003670	CPATCC_0003670-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:873,331..875,016(+)	Methionyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;methionine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0004220	CPATCC_0004220-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:989,486..992,416(-)	Histidyl-tRNA synthetase	N/A	ATP binding;histidine-tRNA ligase activity	IEA	N/A	
CPATCC_0004940	CPATCC_0004940-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr8:1,161,160..1,162,521(+)	Seryl-tRNA synthetase,cytoplasmic	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	IEA	N/A	
CPATCC_0007230	CPATCC_0007230-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr7:372,102..373,883(+)	Tryptophanyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	IEA	N/A	
CPATCC_0007280	CPATCC_0007280-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr7:384,095..386,306(+)	Aspartate--tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0007480	CPATCC_0007480-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr7:425,094..427,385(+)	Threonyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
CPATCC_0010840	CPATCC_0010840-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr7:1,106,463..1,107,819(+)	ALDH/Gamma-glutamyl phosphate reductase	N/A	NADP binding;glutamate-5-semialdehyde dehydrogenase activity;oxidoreductase activity	IEA	N/A	
CPATCC_0012010	CPATCC_0012010-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:129,030..132,005(+)	Alanyl-tRNA synthetase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
CPATCC_0012420	CPATCC_0012420-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:241,665..243,865(-)	Cysteinyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0014530	CPATCC_0014530-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:683,762..684,892(-)	Tyrosyl-tRNA synthetase (Tyrosyl-tRNA ligase TyrRS) class-I aaRS	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	N/A	
CPATCC_0015320	CPATCC_0015320-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:864,869..865,873(-)	Pyrroline-5-carboxylate reductase	N/A	pyrroline-5-carboxylate reductase activity	IEA	N/A	
CPATCC_0016020	CPATCC_0016020-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:1,037,474..1,039,540(+)	Proline-tRNA synthetase class II	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
CPATCC_0016200	CPATCC_0016200-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr6:1,089,457..1,090,902(+)	Glutamine synthetase type I	N/A	catalytic activity;glutamate-ammonia ligase activity	IEA	N/A	
CPATCC_0020330	CPATCC_0020330-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr4:789,554..791,405(+)	Lysine--tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
CPATCC_0022400	CPATCC_0022400-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr5:169,050..173,003(-)	Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;leucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0025010	CPATCC_0025010-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr5:753,777..755,627(-)	Arginine-tRNA ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0028510	CPATCC_0028510-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr2:524,637..526,097(-)	Glutamate/acetylglutamate kinase	N/A	RNA binding;glutamate 5-kinase activity	IEA	N/A	
CPATCC_0034340	CPATCC_0034340-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr3:822,671..824,200(-)	phenylalanyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding	IEA	N/A	
CPATCC_0034850	CPATCC_0034850-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr3:958,908..962,210(+)	Isoleucine-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;isoleucine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0037220	CPATCC_0037220-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr1:388,099..390,018(+)	Glutamine-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CPATCC_0039480	CPATCC_0039480-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr1:894,178..895,164(-)	Aspartate--ammonia ligase	N/A	aspartate-ammonia ligase activity	IEA	N/A	
CPATCC_0039500	CPATCC_0039500-RA	C. parvum IOWA-ATCC	CpIOWA-ATCC_Chr1:900,040..901,257(+)	Tryptophan synthase beta chain	N/A	tryptophan synthase activity	IEA	N/A	
CSUI_000036	CSUI_000036-t36_1	C. suis strain Wien I	MIGC01000019:2,729..4,501(+)	asparagine synthetase	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
CSUI_000134	CSUI_000134-t36_1	C. suis strain Wien I	MIGC01000066:1,126..10,402(+)	lysine-trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000209	CSUI_000209-t36_1	C. suis strain Wien I	MIGC01000097:5,109..24,400(-)	leucyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000255	CSUI_000255-t36_1	C. suis strain Wien I	MIGC01000111:160,790..169,080(-)	pyrroline-5-carboxylate reductase	N/A	pyrroline-5-carboxylate reductase activity	IEA	N/A	
CSUI_000278	CSUI_000278-t36_1	C. suis strain Wien I	MIGC01000114:69,553..75,267(-)	lysine-trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
CSUI_000408	CSUI_000408-t36_1	C. suis strain Wien I	MIGC01000173:64,475..71,796(+)	tryptophanyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000424	CSUI_000424-t36_1	C. suis strain Wien I	MIGC01000174:124,786..134,530(+)	valyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000462	CSUI_000462-t36_1	C. suis strain Wien I	MIGC01000184:106,039..119,544(-)	cysteine-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000519	CSUI_000519-t36_1	C. suis strain Wien I	MIGC01000191:25,191..29,233(+)	cystathionine beta-synthase	N/A	cystathionine beta-synthase activity	IEA	N/A	
CSUI_000532	CSUI_000532-t36_1	C. suis strain Wien I	MIGC01000199:24,875..30,065(-)	aspartate carbamoyltransferase	N/A	amino acid binding;carboxyl- or carbamoyltransferase activity	IEA	N/A	
CSUI_000838	CSUI_000838-t36_1	C. suis strain Wien I	MIGC01000313:33,273..40,517(+)	methionine--trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_000850	CSUI_000850-t36_1	C. suis strain Wien I	MIGC01000322:40,149..51,379(+)	phospho-2-dehydro-3-deoxyheptonate aldolase	N/A	3-deoxy-7-phosphoheptulonate synthase activity	IEA	N/A	
CSUI_000954	CSUI_000954-t36_1	C. suis strain Wien I	MIGC01000375:55,349..61,915(-)	aspartate-trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_001216	CSUI_001216-t36_1	C. suis strain Wien I	MIGC01000477:192,088..194,751(-)	arginyl-trna	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_001379	CSUI_001379-t36_1	C. suis strain Wien I	MIGC01000546:669..2,340(-)	isoleucyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_001385	CSUI_001385-t36_1	C. suis strain Wien I	MIGC01000552:2,634..9,502(-)	trna synthetases class i family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	N/A	
CSUI_001463	CSUI_001463-t36_1	C. suis strain Wien I	MIGC01000580:901..21,423(-)	phenylalanyl-trna synthetase beta	N/A	ATP binding;RNA binding;magnesium ion binding	IEA	N/A	
CSUI_001493	CSUI_001493-t36_1	C. suis strain Wien I	MIGC01000596:6,929..13,766(-)	methionyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_001735	CSUI_001735-t36_1	C. suis strain Wien I	MIGC01000692:60,985..71,289(-)	isoleucyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_001859	CSUI_001859-t36_1	C. suis strain Wien I	MIGC01000750:81,745..85,547(-)	dihydrodipicolinate synthase	N/A	4-hydroxy-tetrahydrodipicolinate synthase;lyase activity	IEA	N/A	
CSUI_001865	CSUI_001865-t36_1	C. suis strain Wien I	MIGC01000751:42,634..47,802(-)	ferredoxin-fold anticodon binding domain-containing protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;tRNA binding	IEA	N/A	
CSUI_002129	CSUI_002129-t36_1	C. suis strain Wien I	MIGC01000888:4,684..12,589(+)	threonyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
CSUI_002645	CSUI_002645-t36_1	C. suis strain Wien I	MIGC01001096:36,498..38,817(-)	seryl-trna	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	IEA	N/A	
CSUI_002675	CSUI_002675-t36_1	C. suis strain Wien I	MIGC01001103:9,700..22,498(-)	glutamate-trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_002701	CSUI_002701-t36_1	C. suis strain Wien I	MIGC01001122:1,296..6,623(+)	branched-chain amino acid aminotransferase	N/A	branched-chain-amino-acid transaminase activity;catalytic activity	IEA	N/A	
CSUI_002776	CSUI_002776-t36_1	C. suis strain Wien I	MIGC01001157:42,395..49,078(+)	aspartate-semialdehyde dehydrogenase	N/A	NAD binding;NADP binding;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;protein dimerization activity	IEA	N/A	
CSUI_003005	CSUI_003005-t36_1	C. suis strain Wien I	MIGC01001271:179..2,538(+)	isoleucyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_003150	CSUI_003150-t36_1	C. suis strain Wien I	MIGC01001367:20,913..27,791(-)	glutamine type i	N/A	catalytic activity;glutamate-ammonia ligase activity	IEA	N/A	
CSUI_003245	CSUI_003245-t36_1	C. suis strain Wien I	MIGC01001421:43,706..51,193(-)	arginyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_003337	CSUI_003337-t36_1	C. suis strain Wien I	MIGC01001461:52,320..56,066(+)	dihydrodipicolinate reductase	N/A	4-hydroxy-tetrahydrodipicolinate reductase	IEA	N/A	
CSUI_003342	CSUI_003342-t36_1	C. suis strain Wien I	MIGC01001463:25,758..41,064(+)	trna ligase class i (e and q) catalytic domain-containing protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;tRNA binding	IEA	N/A	
CSUI_003412	CSUI_003412-t36_1	C. suis strain Wien I	MIGC01001521:8,676..16,590(-)	asparagine synthetase	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
CSUI_003462	CSUI_003462-t36_1	C. suis strain Wien I	MIGC01001551:1,198..8,031(+)	valyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_003497	CSUI_003497-t36_1	C. suis strain Wien I	MIGC01001570:18,629..22,226(-)	glutamate-5-semialdehyde dehydrogenase	N/A	glutamate-5-semialdehyde dehydrogenase activity;oxidoreductase activity	IEA	N/A	
CSUI_003634	CSUI_003634-t36_1	C. suis strain Wien I	MIGC01001639:2,824..7,482(-)	nadp-specific glutamate dehydrogenase	N/A	oxidoreductase activity	IEA	N/A	
CSUI_003930	CSUI_003930-t36_1	C. suis strain Wien I	MIGC01001777:3,646..18,772(+)	valine--trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_004430	CSUI_004430-t36_1	C. suis strain Wien I	MIGC01002068:59,951..72,144(-)	trna ligase class ii core domain (s and t) domain-containing protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_004649	CSUI_004649-t36_1	C. suis strain Wien I	MIGC01002201:2,452..9,358(+)	leucyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_004714	CSUI_004714-t36_1	C. suis strain Wien I	MIGC01002242:30,250..40,487(-)	chorismate synthase	N/A	chorismate synthase activity	IEA	N/A	
CSUI_004838	CSUI_004838-t36_1	C. suis strain Wien I	MIGC01002313:1,816..8,438(+)	tyrosine-trna ligase	N/A	ATP binding;RNA binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_004846	CSUI_004846-t36_1	C. suis strain Wien I	MIGC01002319:297..6,023(-)	arginyl-trna synthetase	N/A	ATP binding;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005205	CSUI_005205-t36_1	C. suis strain Wien I	MIGC01002521:8,252..12,740(-)	glycyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005328	CSUI_005328-t36_1	C. suis strain Wien I	MIGC01002573:40,945..43,705(-)	asparagine-trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;asparagine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005330	CSUI_005330-t36_1	C. suis strain Wien I	MIGC01002578:232..4,771(-)	isoleucyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005332	CSUI_005332-t36_1	C. suis strain Wien I	MIGC01002578:3,302..3,487(-)	isoleucyl-trna synthetase family protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005434	CSUI_005434-t36_1	C. suis strain Wien I	MIGC01002630:62,274..64,554(-)	alanine dehydrogenase	N/A	alanine dehydrogenase activity	IEA	N/A	
CSUI_005566	CSUI_005566-t36_1	C. suis strain Wien I	MIGC01002674:129,629..137,445(-)	glutamate 5-kinase domain-containing protein	N/A	RNA binding	IEA	N/A	
CSUI_005825	CSUI_005825-t36_1	C. suis strain Wien I	MIGC01002828:4,604..7,839(+)	pyrroline-5-carboxylate reductase	N/A	pyrroline-5-carboxylate reductase activity	IEA	N/A	
CSUI_005826	CSUI_005826-t36_1	C. suis strain Wien I	MIGC01002828:9,648..17,008(+)	serine--trna ligase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_005852	CSUI_005852-t36_1	C. suis strain Wien I	MIGC01002865:2,168..4,999(-)	prolyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_006016	CSUI_006016-t36_1	C. suis strain Wien I	MIGC01003006:125..2,988(+)	phenylalanine--trna ligase alpha subunit	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding	IEA	N/A	
CSUI_006263	CSUI_006263-t36_1	C. suis strain Wien I	MIGC01003131:23,195..26,133(-)	asparagine synthetase	N/A	asparagine synthase (glutamine-hydrolyzing) activity	IEA	N/A	
CSUI_006279	CSUI_006279-t36_1	C. suis strain Wien I	MIGC01003135:79,873..96,253(-)	isoleucyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_007224	CSUI_007224-t36_1	C. suis strain Wien I	MIGC01003749:44..2,168(+)	prolyl-trna synthetase	N/A	ATP binding;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
CSUI_007408	CSUI_007408-t36_1	C. suis strain Wien I	MIGC01003909:9..312(+)	trna ligases class i protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_007493	CSUI_007493-t36_1	C. suis strain Wien I	MIGC01003959:123..8,974(+)	aspartate kinase	N/A	aspartate kinase activity	IEA	N/A	
CSUI_007580	CSUI_007580-t36_1	C. suis strain Wien I	MIGC01004026:2,998..14,034(-)	cytosolic trna-ala synthetase	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
CSUI_008164	CSUI_008164-t36_1	C. suis strain Wien I	MIGC01004492:8,792..19,840(+)	tryptophanyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_010235	CSUI_010235-t36_1	C. suis strain Wien I	MIGC01006963:5..1,550(-)	glutamate leucine phenylalanine valine dehydrogenase family protein	N/A	oxidoreductase activity	IEA	N/A	
CSUI_010261	CSUI_010261-t36_1	C. suis strain Wien I	MIGC01007011:3,422..13,951(-)	glutaminyl-trna synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_010278	CSUI_010278-t36_1	C. suis strain Wien I	MIGC01007040:429..4,164(-)	homoserine kinase	N/A	ATP binding;homoserine kinase activity	IEA	N/A	
CSUI_010485	CSUI_010485-t36_1	C. suis strain Wien I	MIGC01007566:10,333..19,600(-)	alanine--trna ligase-like	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CSUI_010774	CSUI_010774-t36_1	C. suis strain Wien I	MIGC01008252:592..4,997(+)	glutamate leucine phenylalanine valine dehydrogenase family protein	N/A	oxidoreductase activity	IEA	N/A	
CSUI_011414	CSUI_011414-t36_1	C. suis strain Wien I	MIGC01011474:2,397..3,647(-)	tryptophan synthase subunit beta	N/A	tryptophan synthase activity	IEA	N/A	
CTYZ_00000039	CTYZ_00000039-RA	C. tyzzeri isolate UGA55	Ctyz_8:83,950..85,449(+)	Asparaginyl-tRNA synthetase (NOB+tRNA synthase)	N/A	ATP binding;aminoacyl-tRNA ligase activity;asparagine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CTYZ_00000088	CTYZ_00000088-RA	C. tyzzeri isolate UGA55	Ctyz_8:197,045..198,712(-)	Glutamyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glutamate-tRNA ligase activity;nucleotide binding	IEA	N/A	
CTYZ_00000112	CTYZ_00000112-RA	C. tyzzeri isolate UGA55	Ctyz_8:258,675..260,645(+)	Glycyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
CTYZ_00000280	CTYZ_00000280-RA	C. tyzzeri isolate UGA55	Ctyz_8:661,315..662,631(-)	Serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	N/A	
CTYZ_00000283	CTYZ_00000283-RA	C. tyzzeri isolate UGA55	Ctyz_8:664,847..666,184(-)	Serine hydroxymethyltransferase	N/A	glycine hydroxymethyltransferase activity;pyridoxal phosphate binding	IEA	N/A	
CTYZ_00000337	CTYZ_00000337-RA	C. tyzzeri isolate UGA55	Ctyz_8:786,537..789,665(+)	Valyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding;valine-tRNA ligase activity	IEA	N/A	
CTYZ_00000364	CTYZ_00000364-RA	C. tyzzeri isolate UGA55	Ctyz_8:830,911..832,854(-)	Phenylalanyl-tRNA synthetase beta chain	N/A	ATP binding;RNA binding;magnesium ion binding;nucleotide binding;phenylalanine-tRNA ligase activity	IEA	N/A	
CTYZ_00000379	CTYZ_00000379-RA	C. tyzzeri isolate UGA55	Ctyz_8:859,335..861,023(+)	Methionyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
CTYZ_00000436	CTYZ_00000436-RA	C. tyzzeri isolate UGA55	Ctyz_8:975,437..978,370(-)	Histidyl-tRNA synthetase	N/A	ATP binding;histidine-tRNA ligase activity	IEA	N/A	
CTYZ_00000509	CTYZ_00000509-RA	C. tyzzeri isolate UGA55	Ctyz_8:1,145,338..1,146,702(+)	Seryl-tRNA synthetase, cytoplasmic	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;serine-tRNA ligase activity	IEA	N/A	
